時間戳記,表演名稱,演出者,演出日期,表演開始時間,"票價以及註解 （如：早鳥票 300, 現場票 400, 提供酒水等等）",表演場地名稱,表演場地地址（ 給 google map 做搜尋用）,購票或活動連結網址,宣傳圖片連結網址,表演描述，promote 文字，樂團介紹，等等...,演出音樂類型
2017/06/18 2:59:44 上午 GMT+8,雄中民吉百柒成發《吉興 演出》,高雄中學民謠吉他社,2017-07-23,13:30,FREE/13點入場,高雄中學民謠吉他社,高雄市三民區建國三路50號,https://www.facebook.com/events/310699296021695/?fref=ts,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/19225685_1327037130707617_5590874869512115441_n.jpg?oh=f3f6df0d41f832b233e117014fed133a&oe=59D8FC51,"這是107級最後一次表演活動，接下來108級學弟們也會乘著學長們的腳步，為雄中民吉帶入新的熱情~
當然這是一場為這一兩年來練習的成果做發表!
希望7/23下午1330我們不見不散(1300開放入場)",
2017/06/18 7:49:05 下午 GMT+8,「Start From Mirage」2017 Summer Tour 高雄站, Break One's All  + VANITAS w/ 人性先覺 Between The Savage,2017-07-22,19:30,票價：預售300/現場350, Paramount Bar 《百樂門酒館》 ,高雄市高雄市三民區民族一路70號 · 高雄市,https://docs.google.com/forms/d/1FWsfLKj6BXRoyAD3i9WUZi_1QisY-D4ss0uCqZBHFtQ/viewform?edit_requested=true,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/18486123_1692421234386996_7253708855240309436_n.jpg?oh=236dd0a2344fcd017462fa068893a843&oe=59CE7DBA,"BREAK ONE'S ALL x VANITAS
2017首次合作計劃公開！
　　
VANITAS於三月發行了首張專輯「海市蜃樓」後，Break One's All也即將於五月釋出首張EP「Start From Here」，我們將一起展開「Start From Mirage」夏季巡演，並集結臺灣多組樂團共同演出，更多細節與購票資訊即將公佈，stay tuned!
　
　　
詳細資訊：
　
「Start From Mirage」— BREAK ONE'S ALL x VANITAS 2017 Summer Tour

7/22(六)高雄 Paramount Bar 《百樂門酒館》： Break One's All 
+ VANITAS w/ 人性先覺 Between The Savage
票價：預售300/現場350
預售表單網址:https://docs.google.com/forms/d/1FWsfLKj6BXRoyAD3i9WUZi_1QisY-D4ss0uCqZBHFtQ/viewform?edit_requested=true",
2017/06/18 9:26:23 下午 GMT+8,“Before the Dawn - 黎明之前 ”－ Itaru Baba feat. Gosper Live Concert,Itaru Baba Profile/Message from Itaru Baba/特別來賓：Gosper，Maimai（藤井舞） & Masaki Baba（馬場克樹“爸爸桑”）,2017-07-28,19:00,預售票400元／現場票450元（憑票根於表演當日可免費兌換一杯飲料）,台北月見君想,台北市大安區潮州街102號,http://www.accupass.com/event/register/1705241705555337142060,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/18882315_10203384607733699_4889515571353776928_n.jpg?oh=07603110f26fccc0bab6755286126246&oe=59D72999,"地點：台北月見君想
地址：台北市大安區潮州街102號
https://www.moonromantictw.com/about
日期：2017年7月28日（五）
時間：19點，開始入場／演出19：30～21:15
費用：預售票400元／現場票450元（憑票根於表演當日可免費兌換一杯飲料）

＊請試聽Itaru Baba的音樂：https://soundcloud.com/itaru-baba/taiwan-promote （「蝉」〜「午前零時」〜「Bed Town」〜「Last Train」〜「nnn」）

預購票網頁連結：
(1)Accupass: http://www.accupass.com/event/register/1705241705555337142060
(2)台北月見君想（受理預約之網頁）：
https://docs.google.com/forms/d/e/1FAIpQLSekao4wzvtCMhRZqvb-7-gypigkK0j2o6IThpOxhWciEY19Kw/viewform?c=0&w=1

＊持預售票者，優先入場。入場券數量有限, 售完為止, 若預售票全數售完, 則活動當日現場不銷售現場票，敬請見諒！

《試聽Itaru Baba的音樂》
https://soundcloud.com/itaru-baba/taiwan-promote

《Itaru Baba Profile》
情感豐富的曲風，時而纖細、時而渾厚是他出色的歌聲。幼兒時期至青春期成長於中國、澳洲，隨後跟著從事外交工作的父親再次回到日本定居，融合了西洋樂與東洋樂，交織出寬廣的音樂風格。
近期他在日本電影「Alice in Dreamland」的插曲「Dear Alice」包辦了作詞、演唱。
也在作曲家「鈴木麻里奈」的新專輯發表會，擔任特別來賓同台演出，等等參與諸多活動。
今年將在日本流行樂壇正式出道。

《Message from Itaru Baba》
台灣的朋友們，大家好！
我是創作型歌手，Itaru Baba－馬場 格。
首先，我想表達對台灣的感謝。
大學時期，我曾經到台灣大學當了一年的交換學生，在台灣得到了許多能量。當時，做為留學生的我，一面感知著台灣這片土地、台灣人的愛，創作出第一首歌曲。我有生以來的第一個作品，不是在日本，而是在台灣誕生的。
台灣賦予了我一股閃耀著炙熱的光輝、稱之為音樂的靈魂。
在那之後已過了數年，迫不及待地想回饋台灣的這一份恩情，因而舉辦這次的演唱會。
期待能夠與大家相見！

特別來賓：Gosper，Maimai（藤井舞） & Masaki Baba（馬場克樹“爸爸桑”）",
2017/06/18 9:36:54 下午 GMT+8,汪定中 2017 夏季巡迴演唱會 SN 2017D,汪定中,2017-07-15,20:00,800,台中 @Legacy Taichung 音樂展演空間,407台中市西屯區安和路117號,https://tixcraft.com/activity/detail/17_Dean,http://static.tixcraft.com/images/activity/17_Dean_2f4c68592d5224f383ff1cae371a4b1c.jpg,"哈囉大家好，我是汪定中。
 
2013年創立自己的YouTube頻道以來，我一直專注在發佈改編的作品，也很幸運的讓許多人接觸到我的音樂。
 
今年，2017，我在美國剛結束了大三生活。接下來我會在台灣交換學生一個學期。
為什麼這次要回來這麼久呢？是因為我即將要在台北專心做首張獨立製作專輯，ㄧ張真正能夠代表自己原創音樂的專輯。
 
2014年，我認識了獨立製作人李孝祖，前年有幸一起合作了『枝芽』演唱會。
現在我們將會再度合作暑假的「SN 2017D」巡迴演唱會。
 
這次我們特別邀請到來自美國東岸的爵士鍵盤手Andrew Page，擔任Band Leader的角色。還有來自台北的新秀DJ杜蟲，以及獨立樂團界超有魅力的節奏組：鼓手鳥人、貝斯手弘禮。
 
ㄧ定會是個非常獨特的演唱會，請大家拭目以待，也謝謝你們一直以來的支持與鼓勵。我們七月見！



2017/07/15(六)  20:00   台中 @Legacy Taichung 音樂展演空間 (407台中市西屯區安和路117號)
2017/07/29(六)  20:00   台北 @三創 Clapper Studio (台北市中正區市民大道三段2號五樓)

開賣時間：2017/6/9(五) 中午12:00",
2017/06/18 9:38:27 下午 GMT+8,汪定中 2017 夏季巡迴演唱會 SN 2017D,汪定中,2017-07-29,20:00,800,台北 @三創 Clapper Studio,台北市中正區市民大道三段2號五樓,https://tixcraft.com/activity/detail/17_Dean,http://static.tixcraft.com/images/activity/17_Dean_2f4c68592d5224f383ff1cae371a4b1c.jpg,"哈囉大家好，我是汪定中。
 
2013年創立自己的YouTube頻道以來，我一直專注在發佈改編的作品，也很幸運的讓許多人接觸到我的音樂。
 
今年，2017，我在美國剛結束了大三生活。接下來我會在台灣交換學生一個學期。
為什麼這次要回來這麼久呢？是因為我即將要在台北專心做首張獨立製作專輯，ㄧ張真正能夠代表自己原創音樂的專輯。
 
2014年，我認識了獨立製作人李孝祖，前年有幸一起合作了『枝芽』演唱會。
現在我們將會再度合作暑假的「SN 2017D」巡迴演唱會。
 
這次我們特別邀請到來自美國東岸的爵士鍵盤手Andrew Page，擔任Band Leader的角色。還有來自台北的新秀DJ杜蟲，以及獨立樂團界超有魅力的節奏組：鼓手鳥人、貝斯手弘禮。
 
ㄧ定會是個非常獨特的演唱會，請大家拭目以待，也謝謝你們一直以來的支持與鼓勵。我們七月見！



2017/07/15(六)  20:00   台中 @Legacy Taichung 音樂展演空間 (407台中市西屯區安和路117號)
2017/07/29(六)  20:00   台北 @三創 Clapper Studio (台北市中正區市民大道三段2號五樓)
",
2017/06/18 9:41:45 下午 GMT+8,演出｜激進主義｜同名專輯巡迴最終場,RCM激進主義,2017-07-23,19:00,預售單人350元,In Our Time電台食堂 ,高雄市鼓山區蓬萊路99號B10倉庫,https://www.facebook.com/events/113456879223127/?acontext=%7B%22ref%22%3A1%2C%22source%22%3A2%2C%22source_dashboard_filter%22%3A%22discovery%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22permalink%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A[]%7D%2C%7B%5C%22surface%5C%22%3A%5C%22dashboard%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22discover_filter_list%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A%7B%5C%22dashboard_filter%5C%22%3A%5C%22discovery%5C%22%7D%7D]%22%2C%22has_source%22%3Atrue%7D,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/18198241_1380127158715569_9054916262005881340_n.jpg?oh=4763dddc20df25a5beac4c4e3e26ffd6&oe=59D27D68,"以不再年輕的歲月，繼續完成共同的夢想！
需要『RCM激進主義』

RCM激進主義在2008年間組成， 整合曲風跟樂手的調動，曲風演變為較情緒化的EMO為主軸，融入Punk、Britpop元素。

RCM初期作品大多是比較激進的、反社會的創作，但現在RCM 激進主義希望能以這股激進式的力量，帶來更多正面的能量，繼續完成共同的夢想。

團員編制：
◎吉他手：阿西、小少 ◎貝斯手：Youlo ◎鼓手：宏文 ◎鍵盤:原禎 ◎主唱:立安

『RCM激進主義』在經歷團員的變動，曾一度面臨解散的命運，也有過爭吵、挫折失望，但憑著團員們之間互相打氣、堅持信念、不服輸的精神，為了寫下撼動人心的記錄，最後決定奮力一博，突破內心的關卡及現實生活的困境，終於讓『RCM激進主義』首張同名專輯正式產生。

首波主打歌曲「明白」是在寫一段逝去的愛情。在各自忙碌生活，相隔兩地的我們該不該堅持下去，內心不斷的拉扯。

單曲製作還特地找南部知名樂團「山的孩子」主唱「曾繼舜」老師加持，在歌曲中加上一段原住民語。舜子老師嘹亮的嗓音，在這首歌裡聽似突兀，卻有不一樣的聽覺享受，為什麼要設計這樣的橋段？『RCM激進主義』團員們解釋，RCM樂團能撐到現在，是受到「山的孩子」及「山寨音樂餐廳」許多照顧與提拔，所以特別邀請舜子老師共襄盛舉，以表示『RCM激進主義』對「山的孩子」及「山寨音樂餐廳」無限的感激及至高的尊敬。

走遍音樂祭的『RCM激進主義』，演出經驗豐富，精彩的表演，為音樂祭的觀眾帶來極致聽覺饗宴。而樂手們更是來頭不小，曾參加音樂比賽獲得「最佳主唱」、「最佳Bass手」，樂團也曾獲得「網路人氣第一名」、「海海人生搖滾音樂比賽第三名」等殊榮，都可以看得出『RCM激進主義』在音樂路上激進的拼博精神！

現在就讓我們打開耳朵，拾起那個曾經懷抱夢想、熱情的心，一起進入『RCM激進主義』的世界！


高雄場｜In Our Time電台食堂 
高雄駁二藝術特區B10倉庫 
2017/07/23(日) 開放入場 18:00／演出開始 19:00
票價：預售單人350元
＊全區自由入座 
＊預售一經完售即不開放現場票 
開放售票：2017/05/09(三) 12:00pm開賣；預售至演出前一日23:59止 
網路購票：http://www.indievox.com/inourtime 
實體購票：7-11ibon(iNDIEVOX獨立音樂網)",
2017/06/18 11:42:58 下午 GMT+8,愛在刻骨銘心時 - Rhye 台北演唱會,Rhye,2017-07-26,20:00,預售1500元｜現場1700元,Legacy Taipei,台北市八德路一段1號華山中五館,http://tickets.books.com.tw/progshow/03010101514479,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-0/p526x395/18209204_1507536285954962_6826403789005528181_o.jpg?oh=d04db9949fe64df1d3ed8fb859482a9e&oe=59CF04AE,""" Make love to me, One more time. ""

唱遍愛情的各種面貌 
Rhye 首度台北專場

成立於美國洛杉磯的雙人組合 Rhye，成員包括加拿大創作才子 Michael Milosh，以及丹麥音樂人 Robin Hannibal。
Michael Milosh 自三歲開始便接受大提琴訓練，曾參與爵士搖滾樂隊，爾後投入電子音樂創作；04年以 Milosh 之名陸續發表《You Make Me Feel》、《Meme》《iii》與《Jetlag》四張專輯。Robin Hannibal 則來自哥本哈根雙人組 Quadron，09年組成至今共發行《Quadron》《Avalanche》兩張作品，其中〈Better Off〉一曲更邀來饒舌新天王 Kendrick Lamar 獻聲合作。

同屬 Plug Research Records 的 Mike 和 Robin 因為廠牌的引薦，兩位才子開始一起創作音樂，神秘的 Rhye 就此成型。他們透過網路以不露面的方式首先曝光〈Open〉，MV 剪輯戀人們在床第之間的律動纏綿，極為挑逗的限制級畫面，還被調侃為 Victoria's Secret 的廣告片；隨後發表的〈The Fall〉更在樂評與樂迷之間引起爆炸般討論，以鋼琴為基底的優柔曲調配上 Mike 充滿磁性的魔性歌聲，Youtube 點閱率至今已超過千萬。這個優柔唱出愛情各種面貌的組合，讓全世界都在猜 Rhye 到底是誰，是男生？還是女生？直至2013年他們終於正式曝光真面目，發行首張專輯《Women》，隨即獲得加拿大 Polaris Music Prize 提名入圍，並陸續受邀至 Coachella、Primavera Fauna、Pitchfork 等各大音樂祭演出。

始終披著一層神秘面紗的 Rhye，今年受邀於電音才子 Bonobo 新作《Migration》跨刀獻唱〈Break Apart〉，兩人更在四月的 Coachella 合體演出；今年暑假 Rhye 除了造訪 Fuji Rock，也將以結合弦樂的全樂團編制來台專場開唱！門票將於5月5日中午12點正式開賣，購票請洽博客來售票網。",
2017/06/26 10:15:27 上午 GMT+8,聊聊樂團Parlarti / 張雅淳 @女巫店,聊聊樂團Parlarti / 張雅淳,2017-07-27,21:30,350元附一杯飲料,女巫店,台北市新生南路三段56巷7號,http://www.witchhouse.org/#event,https://daks2k3a4ib2z.cloudfront.net/57670be6bd63608e7eb4ae94/594b5ee5f12b4f713d4974e9_20170727_%E8%81%8A%E8%81%8A%E6%A8%82%E5%9C%98x%E5%BC%B5%E9%9B%85%E6%B7%B3.jpg,"聊聊樂團Parlarti │主唱/木吉他

主唱斑比+吉他手阿元，是在PTT認識的兩個鄉民。一首首以感情為主軸的詞曲，帶著少女般的藍色憂鬱，加入多變的編曲風格，想以快樂、憂傷、幸福、期待等情緒，來感染你的心。

張雅淳 │主唱+月琴

張雅淳以民謠創作傳承島嶼記憶，在樸實的台灣島歌中，通向人類共通的情感記憶。除了月琴彈唱，也繼續嘗試與不同樂手合作。",民謠
2017/07/06 1:59:15 上午 GMT+8,2017 Fireball Fest．火球祭,FireBall Fest. 火球祭,2017-08-26,00:00,洽網站 FireBall Fest. 火球祭 2017,高雄展覽館,高雄市前鎮區成功二路39號,https://republic.kktix.cc/events/fireballfest-4d7c1e,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/19620877_1805747063088084_3454415145391113507_o.jpg?oh=40bfd520541749f402feb1108fd27d3c&oe=59D22E3F,"火球警報！ 熱天 港都 情人 搖滾樂！

今年夏日最盛大國際級搖滾音樂祭，

FireBall 火球祭 8/26, 27 正式登陸高雄！


高雄出身，台灣人民樂團滅火器領軍，

日本傳奇樂團 MONGOL800、BRAHMAN 等國際級樂團參戰確定，

血肉果汁機、白目樂隊、隨性、擊沈女孩、瑪莉咬凱利及猛虎巧克力等，

 
超過30組國內外樂團熱力共演。

夏日、港都、情人、街頭潮流、搖滾樂，

火球連發，燃燒整個夏日的青春！

 
正港台灣製造，全新品牌國際級音樂祭，

夏天結束以前，絕對不能錯過的搖滾派對！",搖滾
2017/07/10 10:43:56 上午 GMT+8,異角【樂團之夜】 － 胡凱兒 、 Nowhere此時刻,胡凱兒 、 nowhere此時刻,2017-07-29,18:00,300,台中 ANGLE 異角玩樂,台中市台中市西區忠誠街131號,https://www.facebook.com/events/1949832578581763/?acontext=%7B%22source%22%3A5%2C%22page_id_source%22%3A433904250055602%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%7B%5C%22page_id%5C%22%3A433904250055602%2C%5C%22tour_id%5C%22%3Anull%7D%22%7D]%2C%22has_source%22%3Atrue%7D,https://drive.google.com/file/d/0BxinkkXWtZ7bRzlQVmRqV3RyTFE/view?usp=sharing,"大家注意~~
萬眾期待的表演又來囉~
這次請到兩個清新的樂團~~
分別是 Who Cares 胡凱兒 以及 Nowhere樂團
都是非常令人陶醉的樂團呢.......>////<
限量搶購40張 要買要快唷!!!幾乎是零距離接觸呢>//////<",搖滾
2017/07/11 9:57:45 下午 GMT+8,騷聲之犢不畏虎 vol.2,先知瑪莉 Mary See the Future 一種心情 Sense Of Feeling 荷爾蒙少年,2017-07-26,19:00,預售500 / 現場 600/～滾音學員免費入場～, The Wall Live House,台北市台北市羅斯福路四段200號B1,https://www.facebook.com/events/1908130936066906/?fref=ts,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/18950922_1870762939855284_1406691498872215524_n.jpg?oh=012630d6491c00d918a98dfe6b2879c2&oe=5A0EF512,"騷聲之犢不畏虎 vol.2

第二屆的騷聲之犢不畏虎來了
去年有隨性領軍，今年有先知瑪莉帶頭！

騷聲之犢不畏虎 - 
顧名思義
從騷聲一起玩到大的年輕樂團們
與在騷聲教課的老師們同台演出
無論會不會被老師們電爆都沒差
只要你想玩團 就不要怕
-------------------------------
<<預售票 6/20 ibon, Indievox 準時開賣>>
時間： 2017/7/26（三）
票價：預售500 / 現場 600
地點：The Wall
～滾音學員免費入場～
-------------------------------
演出陣容：
先知瑪莉 Mary See the Future
一種心情 Sense Of Feeling
荷爾蒙少年",搖滾
